DL1,DL2,DL3,DL4,DL5,DL6,DL7,DL8,DL9,DL10,DL11,DL12,DL13,DL14
1e+20,1.3676e+11,4.2379e+10,106.43,89.09,2.7717e+10,35.376,2.0268e+10,23.47,15.7,16.548,12.976,24.253,7.7706
1e+20,1.3395e+11,4.1313e+10,102.02,85.469,2.7001e+10,34.112,1.9856e+10,22.512,15.109,16.07,12.682,23.56,7.4694
1e+20,1.3094e+11,4.0186e+10,97.428,81.691,2.6235e+10,32.789,1.9414e+10,21.519,14.495,15.565,12.37,22.83,7.1588
1e+20,1.2771e+11,3.8991e+10,92.637,77.742,2.5414e+10,31.402,1.8939e+10,20.488,13.857,15.032,12.037,22.059,6.8379
1e+20,1.2424e+11,3.772e+10,87.635,73.61,2.4531e+10,29.944,1.8425e+10,19.416,13.19,14.466,11.68,21.242,6.5054
1e+20,1.2047e+11,3.6359e+10,82.4,69.275,2.3576e+10,28.408,1.7865e+10,18.298,12.493,13.863,11.294,20.372,6.1598
1e+20,1.1637e+11,3.4895e+10,76.906,64.715,2.2539e+10,26.782,1.7252e+10,17.128,11.76,13.216,10.874,19.439,5.7993
1e+20,1.1187e+11,3.3308e+10,71.121,59.902,2.1404e+10,25.054,1.6573e+10,15.899,10.987,12.517,10.413,18.432,5.4213
1e+20,1.0688e+11,3.157e+10,65.003,54.798,2.0151e+10,23.205,1.5815e+10,14.603,10.165,11.756,9.9015,17.334,5.0223
1e+20,1.0129e+11,2.9644e+10,58.493,49.354,1.8753e+10,21.211,1.4954e+10,13.226,9.2846,10.918,9.325,16.123,4.5975
1e+20,9.4895e+10,2.7471e+10,51.508,43.499,1.717e+10,19.036,1.3956e+10,11.748,8.3305,9.9805,8.6624,14.766,4.1395
1e+20,8.7406e+10,2.4957e+10,43.924,37.124,1.5338e+10,16.624,1.2768e+10,10.141,7.2788,8.9078,7.8796,13.209,3.6365
